user_id,signup_date,city,acquisition_channel,birth_year,email
U01138,2024-12-13,Hamburg,Organic,2003,user1138@example.com
U00946,2024-08-13,Munich,Meta Ads,1995,user946@example.com
U00419,2025-06-11,Frankfurt,Referral,2002,user419@example.com
U00658,2024-05-17,Munich,Referral,1960,user658@example.com
U00275,2025-03-04,Hamburg,Meta Ads,1968,user275@example.com
U01070,2025-01-11,Berlin,Google Ads,1959,user1070@example.com
U00980,2025-04-04,Berlin,Organic,1968,user980@example.com
U00986,2024-10-11,Berlin,TikTok Ads,1963,user986@example.com
U00988,2025-02-11,Hamburg,Referral,1985,user988@example.com
U01808,2024-07-16,Munich,Organic,1990,user1808@example.com
U00219,2025-07-06,Cologne,Meta Ads,1991,user219@example.com
U01749,2025-04-20,Munich,Organic,2000,user1749@example.com
U00853,2024-10-06,Cologne,TikTok Ads,1975,user853@example.com
U00573,2024-04-16,Frankfurt,Meta Ads,1995,user573@example.com
U00830,2024-10-26,Cologne,Organic,1965,user830@example.com
U00938,2025-07-25,Cologne,Referral,1965,user938@example.com
U00993,2025-02-28,Munich,Meta Ads,1987,user993@example.com
U00996,2024-09-25,Hamburg,Organic,1998,user996@example.com
U01945,2024-02-10,Hamburg,Meta Ads,1992,user1945@example.com
U00881,2025-09-30,Frankfurt,Referral,1990,user881@example.com
U01035,13.07.2025,Berlin,Organic,2006,user1035@example.com
U01271,2025-08-06,Berlin,TikTok Ads,1998,user1271@example.com
U00826,2024-05-28,Hamburg,Google Ads,2000,user826@example.com
U00115,2024-08-25,Munich,Referral,1976,user115@example.com
U00494,2024-07-05,Frankfurt,Meta Ads,1997,user494@example.com
U00806,2025-05-18,Berlin,Referral,1968,user806@example.com
U01287,2024-11-30,Cologne,Meta Ads,1987,user1287@example.com
U01366,2024-03-14,Cologne,Organic,1976,user1366@example.com
U00452,2024-07-02,Frankfurt,Meta Ads,1960,user452@example.com
U00102,2025-11-10,Cologne,Referral,1988,user102@example.com
U01221,2025-08-29,Frankfurt,Meta Ads,1979,user1221@example.com
U00053,2025-01-08,Munich,Google Ads,1960,user53@example.com
U01071,2025-11-18,Hamburg,Google Ads,1993,user1071@example.com
U01160,2025-07-11,Frankfurt,Meta Ads,1997,user1160@example.com
U01253,2024-08-12,Hamburg,Organic,1986,user1253@example.com
U00050,2024-01-04,Frankfurt,TikTok Ads,1966,user50@example.com
U01279,2025-05-17,Frankfurt,Referral,1994,user1279@example.com
U00640,2024-05-17,Hamburg,Referral,1979,user640@example.com
U01973,2024-09-26,Cologne,Referral,1965,user1973@example.com
U01067,2024-04-19,Cologne,Google Ads,1975,user1067@example.com
U01623,2025-02-12,Cologne,Referral,1964,user1623@example.com
U01210,2024-08-27,Cologne,Meta Ads,1981,user1210@example.com
U01289,2024-04-12,Berlin,Google Ads,1965,user1289@example.com
U00149,2025-10-16,Munich,Organic,2002,user149@example.com
U00821,2024-11-11,Munich,Meta Ads,1986,user821@example.com
U01421,2025-11-13,Berlin,Organic,1988,user1421@example.com
U01904,2024-08-21,Hamburg,TikTok Ads,1987,user1904@example.com
U01650,2025-04-28,Cologne,Referral,1969,user1650@example.com
U01444,2025-05-21,Cologne,Organic,1990,user1444@example.com
U00935,2025-03-02,Hamburg,TikTok Ads,1988,user935@example.com
U00302,2024-01-06,Frankfurt,Organic,1968,user302@example.com
U01454,2025-01-26,Cologne,Meta Ads,1974,user1454@example.com
U01379,2025-07-23,Cologne,TikTok Ads,1991,user1379@example.com
U01175,2025-02-22,Munich,Google Ads,1981,user1175@example.com
U01771,2025-05-20,Berlin,Referral,1977,user1771@example.com
U01474,2024-04-25,Munich,Meta Ads,2004,user1474@example.com
U00516,2025-02-01,Frankfurt,Google Ads,1993,user516@example.com
U00687,2024-09-20,Frankfurt,TikTok Ads,1994,user687@example.com
U00941,2024-06-29,Munich,Organic,1960,user941@example.com
U01431,2024-12-10,Hamburg,Google Ads,1961,user1431@example.com
U01222,2024-12-14,Berlin,TikTok Ads,1979,user1222@example.com
U01742,2024-09-28,Hamburg,Meta Ads,1989,user1742@example.com
U00675,2025-04-02,Hamburg,TikTok Ads,1968,user675@example.com
U00248,02.04.2025,Berlin,Google Ads,1980,user248@example.com
U00568,2024-10-24,Berlin,Google Ads,2001,user568@example.com
U00262,2025-04-22,Cologne,TikTok Ads,1980,user262@example.com
U01051,2025-06-27,Hamburg,TikTok Ads,1971,user1051@example.com
U00112,2024-10-31,Cologne,Google Ads,1985,user112@example.com
U01844,2025-03-08,Berlin,TikTok Ads,1977,user1844@example.com
U01241,2024-04-27,Hamburg,Google Ads,1986,user1241@example.com
U00956,2025-07-25,Munich,Referral,2002,user956@example.com
U01373,2024-09-03,Frankfurt,Google Ads,1977,user1373@example.com
U00631,2025-07-20,Cologne,Organic,1967,
U01514,2024-08-16,Frankfurt,TikTok Ads,1987,user1514@example.com
U00999,2024-05-02,Munich,TikTok Ads,2004,user999@example.com
U01750,2025-05-15,Cologne,Meta Ads,2001,user1750@example.com
U01929,2025-02-27,Cologne,Google Ads,1967,user1929@example.com
U00094,2025-03-19,Munich,Organic,1998,user94@example.com
U00128,2024-05-14,Berlin,TikTok Ads,1986,user128@example.com
U01302,09.12.2024,Munich,TikTok Ads,1995,user1302@example.com
U01344,2025-10-15,Berlin,Referral,1978,user1344@example.com
U01235,2025-03-08,Berlin,Referral,1970,user1235@example.com
U00442,2025-10-17,Berlin,TikTok Ads,1997,user442@example.com
U00709,2024-01-21,Munich,TikTok Ads,1980,user709@example.com
U01788,2025-10-22,Cologne,Referral,1979,user1788@example.com
U01116,2024-10-24,Munich,Meta Ads,1963,user1116@example.com
U00633,2025-02-26,Cologne,Referral,1990,user633@example.com
U01335,2024-03-22,Berlin,TikTok Ads,1982,user1335@example.com
U01593,2025-04-16,Hamburg,Referral,1959,user1593@example.com
U00681,2025-09-05,Berlin,Referral,2002,user681@example.com
U00227,2024-04-03,Berlin,Organic,1972,user227@example.com
U01273,2025-01-30,Frankfurt,Google Ads,1972,user1273@example.com
U00408,2024-08-18,Frankfurt,TikTok Ads,1968,user408@example.com
U00238,2024-01-17,Berlin,TikTok Ads,1962,user238@example.com
U01004,2025-01-06,Munich,TikTok Ads,1995,user1004@example.com
U01105,2024-01-27,Berlin,Referral,2001,user1105@example.com
U01770,2024-05-24,Munich,Google Ads,1988,user1770@example.com
U00596,2025-02-26,Cologne,Referral,2005,user596@example.com
U01088,2025-03-04,Munich,TikTok Ads,1967,user1088@example.com
U00002,2024-03-30,Cologne,TikTok Ads,1960,user2@example.com
U00632,2025-07-04,Hamburg,Meta Ads,1963,user632@example.com
U00418,2025-08-14,Berlin,Organic,1998,user418@example.com
U00530,2024-12-24,Hamburg,Google Ads,1974,user530@example.com
U00051,2025-03-13,Munich,TikTok Ads,1965,user51@example.com
U00985,2024-12-31,Cologne,Meta Ads,1961,user985@example.com
U01096,2024-02-15,Hamburg,Organic,1989,user1096@example.com
U00029,2024-03-13,Munich,TikTok Ads,1975,user29@example.com
U00989,2024-12-25,Frankfurt,Organic,1986,user989@example.com
U01162,2025-07-07,Hamburg,Meta Ads,1963,user1162@example.com
U00575,2025-05-14,Hamburg,Google Ads,1984,user575@example.com
U01706,2024-01-26,Hamburg,Organic,1981,user1706@example.com
U00011,2024-09-07,Cologne,Meta Ads,1982,user11@example.com
U00613,2024-03-10,Berlin,Referral,1968,user613@example.com
U00421,2025-07-01,Hamburg,Referral,1985,user421@example.com
U00549,2025-05-14,Frankfurt,Referral,1969,user549@example.com
U00361,2025-12-01,Hamburg,Google Ads,1992,user361@example.com
U00266,2024-05-08,Munich,TikTok Ads,1997,user266@example.com
U00818,2024-04-03,Frankfurt,TikTok Ads,1986,user818@example.com
U00847,2025-03-30,Hamburg,Organic,1988,user847@example.com
U00031,2024-12-28,Berlin,Google Ads,1987,user31@example.com
U00979,2024-07-29,Munich,Referral,1960,user979@example.com
U01030,2025-05-11,Hamburg,Organic,1967,user1030@example.com
U01259,2024-04-10,Munich,Referral,1981,user1259@example.com
U01826,2025-01-17,Munich,TikTok Ads,1988,user1826@example.com
U01729,2025-03-12,Munich,Google Ads,1982,user1729@example.com
U00300,2024-04-21,Cologne,Meta Ads,1995,user300@example.com
U00100,2024-03-28,Frankfurt,Organic,1984,user100@example.com
U01250,2025-11-10,Cologne,Referral,1968,user1250@example.com
U01057,2025-02-24,Hamburg,Referral,1962,user1057@example.com
U00586,2025-04-29,Munich,Google Ads,1981,user586@example.com
U01430,2024-04-03,Munich,Meta Ads,1982,user1430@example.com
U00047,2024-09-27,Hamburg,TikTok Ads,1964,user47@example.com
U00129,2024-09-02,Berlin,Meta Ads,1977,user129@example.com
U01296,2024-07-31,Munich,Google Ads,1983,user1296@example.com
U00114,2024-03-17,Hamburg,Google Ads,1984,user114@example.com
U01286,2024-12-17,Berlin,Meta Ads,1970,
U00901,2025-03-18,Hamburg,Google Ads,1999,user901@example.com
U00724,2024-08-20,Munich,Referral,1986,user724@example.com
U00173,2024-03-06,Cologne,Meta Ads,1981,user173@example.com
U00558,2024-05-06,Hamburg,TikTok Ads,1999,user558@example.com
U01362,2025-10-08,Berlin,Referral,1989,user1362@example.com
U00466,2024-11-17,Frankfurt,Referral,1992,user466@example.com
U00472,2025-08-19,Frankfurt,Meta Ads,1962,user472@example.com
U00610,2024-01-06,Hamburg,TikTok Ads,2003,user610@example.com
U01184,2024-07-16,Cologne,TikTok Ads,1992,user1184@example.com
U01821,2025-11-05,Hamburg,TikTok Ads,1988,user1821@example.com
U01158,2025-11-28,Hamburg,Google Ads,1977,user1158@example.com
U01949,2024-05-07,Cologne,Google Ads,1969,user1949@example.com
U01018,2024-07-15,Berlin,Meta Ads,1968,user1018@example.com
U00271,2025-04-09,Frankfurt,Meta Ads,1961,user271@example.com
U01605,2025-08-31,Munich,Organic,1988,user1605@example.com
U01616,2025-04-10,Frankfurt,Meta Ads,1980,user1616@example.com
U00585,2025-01-07,Cologne,TikTok Ads,1972,user585@example.com
U01515,2025-04-21,Frankfurt,Organic,1969,user1515@example.com
U01765,2024-10-25,Frankfurt,Referral,1972,user1765@example.com
U00872,2025-02-03,Hamburg,Referral,1986,user872@example.com
U00934,23.03.2024,Cologne,Referral,1969,user934@example.com
U00087,2025-10-27,Munich,Meta Ads,1999,user87@example.com
U01028,2024-08-26,Cologne,TikTok Ads,2004,user1028@example.com
U01831,2024-01-01,Berlin,Meta Ads,1970,user1831@example.com
U00945,2024-04-22,Munich,Organic,1964,user945@example.com
U01455,2025-03-28,Frankfurt,Meta Ads,1975,user1455@example.com
U00162,2024-04-29,Berlin,Meta Ads,1960,user162@example.com
U01819,2024-12-16,Hamburg,Google Ads,1990,user1819@example.com
U01295,2024-02-15,Munich,TikTok Ads,1964,user1295@example.com
U00533,2024-05-15,Cologne,Referral,1996,user533@example.com
U01900,2024-12-31,Cologne,Meta Ads,1994,user1900@example.com
U00265,2025-06-15,Cologne,Referral,1963,user265@example.com
U00024,2025-06-29,Munich,Referral,1966,user24@example.com
U01527,2025-06-17,Frankfurt,TikTok Ads,1986,user1527@example.com
U01133,2025-09-02,Cologne,TikTok Ads,1976,user1133@example.com
U01655,2025-09-18,Hamburg,TikTok Ads,1960,user1655@example.com
U00581,2024-08-16,Frankfurt,Organic,1982,user581@example.com
U00669,2025-09-04,Berlin,TikTok Ads,1984,
U00858,2024-12-30,Cologne,Google Ads,1970,user858@example.com
U00820,2025-08-02,Berlin,Organic,1967,user820@example.com
U01471,2025-11-14,Berlin,Referral,1997,user1471@example.com
U00661,2025-02-24,Cologne,Referral,1995,user661@example.com
U00895,2025-09-01,Frankfurt,Organic,1967,user895@example.com
U01676,2025-03-23,Munich,Organic,1973,user1676@example.com
U01562,2024-11-15,Frankfurt,Organic,1971,user1562@example.com
U01324,2024-09-05,Munich,Referral,1981,user1324@example.com
U01417,2024-01-08,Hamburg,Referral,2000,user1417@example.com
U00226,2024-10-18,Munich,Organic,1968,user226@example.com
U00663,2025-01-22,Cologne,Organic,1964,user663@example.com
U00151,2025-11-05,Berlin,TikTok Ads,1958,user151@example.com
U00880,2024-03-27,Cologne,Organic,1984,user880@example.com
U00846,2024-08-09,Munich,Google Ads,1969,user846@example.com
U00711,2025-11-20,Cologne,Referral,2005,user711@example.com
U00755,2025-10-19,Cologne,Referral,2000,user755@example.com
U00138,2025-05-29,Frankfurt,Google Ads,1979,user138@example.com
U00730,2024-10-18,Berlin,Meta Ads,1992,user730@example.com
U01683,2025-05-12,Cologne,Meta Ads,1971,user1683@example.com
U01760,2025-10-08,Frankfurt,Organic,1973,user1760@example.com
U00891,2024-01-28,Hamburg,Referral,1963,user891@example.com
U01975,2025-04-12,Hamburg,Google Ads,2000,user1975@example.com
U00310,2025-10-16,Berlin,Meta Ads,1985,user310@example.com
U01117,2025-12-01,Berlin,TikTok Ads,1973,user1117@example.com
U00778,2024-09-25,Munich,Organic,1990,user778@example.com
U01544,2025-02-16,Munich,TikTok Ads,1991,user1544@example.com
U00252,2025-01-14,Hamburg,Organic,2006,user252@example.com
U00766,10.02.2025,Cologne,Meta Ads,1960,user766@example.com
U01403,2025-10-12,Berlin,Google Ads,1977,user1403@example.com
U00546,2025-08-17,Berlin,Organic,1962,user546@example.com
U00339,2024-10-01,Munich,TikTok Ads,1996,user339@example.com
U01686,2024-02-04,Berlin,Google Ads,1995,user1686@example.com
U01993,2025-05-13,Cologne,TikTok Ads,1972,user1993@example.com
U01156,2025-02-06,Cologne,Google Ads,2000,user1156@example.com
U01983,2024-07-26,Frankfurt,Organic,1983,user1983@example.com
U00871,2025-10-13,Cologne,Referral,2006,user871@example.com
U00006,2024-12-18,Frankfurt,Google Ads,1960,user6@example.com
U01053,2025-06-11,Cologne,Meta Ads,2006,user1053@example.com
U01319,2024-06-07,Hamburg,Organic,1958,user1319@example.com
U00994,2024-07-09,Hamburg,TikTok Ads,1976,user994@example.com
U00750,2024-01-01,Berlin,TikTok Ads,1990,user750@example.com
U00232,2025-09-15,Berlin,Google Ads,1965,user232@example.com
U01787,2024-08-09,Cologne,TikTok Ads,1974,user1787@example.com
U00035,2025-02-20,Munich,Organic,1971,user35@example.com
U00702,2025-03-05,Frankfurt,Meta Ads,1981,user702@example.com
U00096,2025-04-21,Munich,Google Ads,2004,user96@example.com
U01111,2024-05-03,Cologne,Meta Ads,1985,user1111@example.com
U01464,2025-07-30,Munich,Google Ads,1968,user1464@example.com
U00703,2025-08-08,Hamburg,Meta Ads,1994,user703@example.com
U01799,2024-09-16,Hamburg,Organic,1958,user1799@example.com
U00009,2025-01-24,Hamburg,Meta Ads,1998,user9@example.com
U01012,2024-04-24,Berlin,Google Ads,1988,user1012@example.com
U00862,2024-11-28,Frankfurt,Organic,1959,user862@example.com
U01354,2025-03-23,Berlin,Google Ads,1972,user1354@example.com
U00814,2024-10-28,Frankfurt,Organic,1961,user814@example.com
U01504,2025-09-30,Frankfurt,Meta Ads,1985,user1504@example.com
U01503,2025-10-29,Hamburg,Referral,1979,user1503@example.com
U01174,29.04.2025,Berlin,TikTok Ads,1968,user1174@example.com
U01126,2025-11-20,Munich,Meta Ads,2001,user1126@example.com
U01315,2025-06-01,Frankfurt,Google Ads,1985,user1315@example.com
U00591,2025-04-06,Frankfurt,Google Ads,1995,user591@example.com
U01089,2025-04-06,Berlin,Google Ads,1981,user1089@example.com
U00400,2025-09-17,Cologne,Meta Ads,1965,user400@example.com
U00764,2025-02-26,Munich,TikTok Ads,1985,user764@example.com
U01829,2025-08-04,Berlin,Google Ads,1966,user1829@example.com
U01044,2024-11-08,Frankfurt,Organic,1968,user1044@example.com
U00905,2024-12-25,Cologne,Google Ads,1976,user905@example.com
U01633,2024-04-09,Berlin,Google Ads,1994,user1633@example.com
U01681,2025-03-30,Munich,TikTok Ads,1981,user1681@example.com
U00553,14.07.2024,Hamburg,Referral,1958,user553@example.com
U00055,2024-06-30,Frankfurt,Meta Ads,1959,user55@example.com
U01791,2024-03-20,Frankfurt,Organic,1961,user1791@example.com
U00180,2024-04-07,Munich,Organic,1978,user180@example.com
U01991,2024-05-07,Hamburg,Referral,1997,user1991@example.com
U01525,2024-03-20,Hamburg,Google Ads,1995,user1525@example.com
U00202,2025-06-27,Munich,Meta Ads,1980,user202@example.com
U00940,2024-07-17,Frankfurt,Organic,1967,user940@example.com
U01660,2025-01-03,Munich,TikTok Ads,1994,user1660@example.com
U01364,2024-07-02,Munich,Google Ads,2004,user1364@example.com
U01372,2025-08-30,Berlin,Google Ads,1967,user1372@example.com
U00686,2025-02-20,Berlin,TikTok Ads,1993,user686@example.com
U00060,2024-09-24,Hamburg,Referral,1974,user60@example.com
U00865,2025-08-27,Frankfurt,Organic,1997,user865@example.com
U01385,2024-05-23,Hamburg,TikTok Ads,2002,user1385@example.com
U01333,2024-04-22,Munich,Meta Ads,1971,user1333@example.com
U00470,2025-04-08,Munich,Google Ads,1993,user470@example.com
U00282,2024-05-01,Hamburg,TikTok Ads,1964,user282@example.com
U00787,2024-05-24,Cologne,Google Ads,2000,user787@example.com
U00003,2024-01-28,Munich,Organic,2003,user3@example.com
U01457,2025-05-22,Cologne,Organic,1969,user1457@example.com
U01134,2025-09-18,Berlin,Organic,1989,user1134@example.com
U01472,2025-05-26,Berlin,Google Ads,1974,user1472@example.com
U01777,2024-05-23,Berlin,Organic,1993,
U00390,2025-08-12,Cologne,TikTok Ads,1981,user390@example.com
U01573,2025-04-08,Berlin,Referral,1978,user1573@example.com
U00955,2025-02-07,Munich,Google Ads,2002,user955@example.com
U00801,2024-05-29,Frankfurt,Referral,2006,user801@example.com
U00593,2024-06-30,Frankfurt,TikTok Ads,1969,user593@example.com
U00690,2024-11-19,Hamburg,Meta Ads,1980,
U00106,2024-08-20,Hamburg,Google Ads,1977,user106@example.com
U00855,2024-09-07,Frankfurt,Google Ads,1977,user855@example.com
U01867,2024-11-07,Munich,TikTok Ads,1978,user1867@example.com
U00967,2025-06-23,Cologne,Referral,1988,user967@example.com
U00324,2025-01-26,Cologne,Meta Ads,1982,user324@example.com
U00637,2025-09-26,Cologne,Referral,1970,user637@example.com
U00916,2025-06-11,Berlin,TikTok Ads,1989,user916@example.com
U00770,2025-08-07,Frankfurt,Meta Ads,1971,user770@example.com
U00909,2024-10-10,Hamburg,Referral,2002,user909@example.com
U01687,2024-10-12,Frankfurt,Organic,1982,user1687@example.com
U00260,2024-03-29,Cologne,Organic,1983,user260@example.com
U01195,2024-10-02,Cologne,Meta Ads,1995,user1195@example.com
U01631,2025-02-06,Cologne,Organic,2000,user1631@example.com
U01375,2024-01-12,Cologne,Meta Ads,1963,user1375@example.com
U00792,2025-07-28,Hamburg,Referral,1959,user792@example.com
U01899,2024-11-12,Berlin,Meta Ads,1967,user1899@example.com
U01841,2025-03-07,Frankfurt,Google Ads,1983,user1841@example.com
U00433,2024-04-12,Frankfurt,Referral,1965,user433@example.com
U01641,2024-05-25,Cologne,Meta Ads,2000,user1641@example.com
U00184,2024-11-15,Frankfurt,Meta Ads,1994,user184@example.com
U01661,2025-05-23,Hamburg,Referral,1971,user1661@example.com
U00071,2025-02-13,Berlin,Organic,1999,user71@example.com
U00130,2024-04-26,Hamburg,TikTok Ads,1965,user130@example.com
U01811,2025-04-19,Hamburg,TikTok Ads,1963,user1811@example.com
U01291,2024-08-09,Berlin,Organic,1961,user1291@example.com
U00435,2024-10-18,Hamburg,Meta Ads,2002,user435@example.com
U01842,2024-12-20,Berlin,Meta Ads,1964,user1842@example.com
U00736,2024-09-29,Hamburg,Organic,1962,user736@example.com
U01340,2025-11-12,Hamburg,Google Ads,1997,user1340@example.com
U01433,11.02.2024,Frankfurt,Referral,2000,user1433@example.com
U00254,2025-06-14,Frankfurt,Meta Ads,1993,user254@example.com
U00345,2024-11-16,Berlin,Referral,1994,user345@example.com
U00076,2025-05-11,Munich,Referral,1975,user76@example.com
U00739,2025-02-02,Berlin,TikTok Ads,1977,user739@example.com
U00676,2025-09-20,Berlin,Google Ads,2003,user676@example.com
U00798,2025-07-09,Munich,Meta Ads,1999,user798@example.com
U01944,2024-07-12,Cologne,TikTok Ads,1971,user1944@example.com
U00206,2025-10-08,Berlin,Referral,1975,user206@example.com
U01861,2024-09-30,Berlin,Referral,1998,user1861@example.com
U01353,2025-08-12,Frankfurt,TikTok Ads,1996,user1353@example.com
U00209,2025-08-08,Berlin,Organic,1978,user209@example.com
U01627,2024-05-21,Hamburg,Organic,2002,user1627@example.com
U00605,2025-01-25,Berlin,Referral,2001,user605@example.com
U01407,2024-01-15,Cologne,Referral,2005,user1407@example.com
U01611,2025-11-06,Frankfurt,Referral,1980,user1611@example.com
U00075,2024-06-11,Hamburg,TikTok Ads,1988,user75@example.com
U01792,2024-11-30,Frankfurt,Organic,2006,user1792@example.com
U01897,2024-11-17,Munich,TikTok Ads,1982,user1897@example.com
U01619,06.05.2024,Berlin,Google Ads,1977,user1619@example.com
U01939,2024-10-10,Munich,TikTok Ads,2005,user1939@example.com
U00338,2024-12-04,Munich,Google Ads,1986,user338@example.com
U01076,2024-09-24,Cologne,Referral,1980,user1076@example.com
U01624,2024-06-26,Munich,Meta Ads,2001,user1624@example.com
U00279,03.07.2025,Hamburg,Organic,1964,user279@example.com
U00242,2025-02-11,Munich,Referral,1992,user242@example.com
U01592,2025-10-25,Munich,Google Ads,1987,user1592@example.com
U01823,2024-06-11,Munich,Referral,1979,user1823@example.com
U01215,2024-09-15,Berlin,Referral,2019,user1215@example.com
U01776,26.04.2024,Cologne,Organic,1985,user1776@example.com
U01751,2025-02-22,Frankfurt,Organic,1978,user1751@example.com
U01716,2024-08-23,Munich,TikTok Ads,1984,user1716@example.com
U01206,2025-07-05,Frankfurt,Google Ads,1999,user1206@example.com
U01498,2024-07-18,Berlin,Referral,1983,user1498@example.com
U01288,2025-03-24,Berlin,TikTok Ads,1975,user1288@example.com
U00689,2024-01-29,Munich,Meta Ads,1974,user689@example.com
U00251,2025-10-22,Munich,Organic,1982,user251@example.com
U00450,2024-06-10,Berlin,Meta Ads,1964,user450@example.com
U00287,2024-01-18,Hamburg,Google Ads,2001,user287@example.com
U01108,2025-08-05,Berlin,Google Ads,1961,user1108@example.com
U01383,2024-05-07,Berlin,Meta Ads,1981,user1383@example.com
U00803,2024-05-14,Cologne,TikTok Ads,2006,user803@example.com
U01219,2024-08-19,Munich,Meta Ads,1985,user1219@example.com
U00606,2024-07-26,Hamburg,TikTok Ads,1986,user606@example.com
U00230,2024-02-09,Frankfurt,Organic,1988,user230@example.com
U01290,2025-11-24,Berlin,TikTok Ads,1986,user1290@example.com
U01741,2025-10-11,Munich,Meta Ads,1973,user1741@example.com
U01510,14.05.2025,Munich,Organic,1976,user1510@example.com
U00453,2024-11-25,Cologne,Referral,2004,user453@example.com
U00344,2024-04-10,Munich,Referral,2004,user344@example.com
U00535,2024-11-05,Cologne,Referral,1997,user535@example.com
U01418,2025-01-08,Frankfurt,Organic,1969,user1418@example.com
U01690,2025-08-28,Frankfurt,Organic,1959,user1690@example.com
U00104,2024-05-02,Frankfurt,Referral,2006,user104@example.com
U01813,2024-03-24,Munich,Meta Ads,1973,user1813@example.com
U01189,2024-04-03,Munich,Referral,1964,user1189@example.com
U01446,2025-08-08,Cologne,Organic,2002,user1446@example.com
U01618,2025-05-13,Hamburg,TikTok Ads,1976,user1618@example.com
U00836,2025-09-22,Munich,Google Ads,1984,user836@example.com
U01387,2024-07-11,Munich,TikTok Ads,1971,user1387@example.com
U00447,2025-06-13,Hamburg,Google Ads,2004,user447@example.com
U00337,2025-02-26,Hamburg,Meta Ads,1993,user337@example.com
U01377,2024-07-04,Munich,Google Ads,1999,user1377@example.com
U01434,2025-09-13,Hamburg,Referral,1969,user1434@example.com
